entry_time,exit_time,side,entry_price,exit_price,reason,net_pnl,funding
1786312080000,1786312320000,1,0.023359335699999997,0.023337666,confirmed_pivot,-1.9272038138480712,0.0
1786312320000,1786312440000,-1,0.023337666,0.0234603458,opposite_break,-6.259357979499785,0.0
1786312440000,1786312620000,1,0.0234603458,0.023353664399999998,confirmed_pivot,-5.545033573205162,0.0
1786312620000,1786312800000,-1,0.023353664399999998,0.0236603658,opposite_break,-14.139469054800728,0.0
1786312800000,1786313520000,1,0.0236603658,0.022947705000000002,opposite_break,-31.105387026602827,0.0
1786313520000,1786314000000,-1,0.022947705000000002,0.022662266,confirmed_pivot,11.444892397736586,0.0
1786314000000,1786316400000,1,0.022662266,0.022565743200000002,opposite_break,-5.257056139046221,0.0
1786316400000,1786316520000,-1,0.022565743200000002,0.0226232621,confirmed_pivot,-3.550222208059054,0.0
1786316520000,1786317180000,1,0.0226232621,0.0227797218,confirmed_pivot,5.912419148872439,0.0
1786317180000,1786317720000,-1,0.0227797218,0.0219811979,confirmed_pivot,34.07168212870803,0.0
1786317720000,1786318560000,1,0.0219811979,0.021740825699999997,opposite_break,-11.929887215109499,0.0
1786318560000,1786319520000,-1,0.021740825699999997,0.0218451843,confirmed_pivot,-5.802521336620779,0.0
1786319520000,1786319760000,1,0.0218451843,0.021807819,confirmed_pivot,-2.709604132293887,0.0
1786319760000,1786320360000,-1,0.021807819,0.0218371835,confirmed_pivot,-1.262026277877683,1.0851594379428773
1786320360000,1786321020000,1,0.0218371835,0.0211828815,opposite_break,-30.947765424968793,0.0
1786321020000,1786321620000,-1,0.0211828815,0.020922092,confirmed_pivot,11.317488286473235,0.0
1786321620000,1786321740000,1,0.020922092,0.0208259172,opposite_break,-5.5945076907223825,0.0
1786321740000,1786322100000,-1,0.0208259172,0.0207800778,confirmed_pivot,1.2021752636180323,0.0
1786322100000,1786323060000,1,0.0207800778,0.020553944400000003,confirmed_pivot,-11.876779936791106,0.0
1786323060000,1786324140000,-1,0.020553944400000003,0.019769976800000002,confirmed_pivot,37.16102488824485,0.0
1786324140000,1786324800000,1,0.019769976800000002,0.0194330565,opposite_break,-18.033496966470974,0.0
1786324800000,1786325280000,-1,0.0194330565,0.0189548953,confirmed_pivot,23.617860839338395,0.0
1786325280000,1786325580000,1,0.0189548953,0.019343065500000003,confirmed_pivot,19.468386069112334,0.0
1786325580000,1786326840000,-1,0.019343065500000003,0.0184668465,confirmed_pivot,44.321518944347496,0.0
1786326840000,1786328340000,1,0.0184668465,0.018818118,confirmed_pivot,18.01222627534178,0.0
1786328340000,1786331100000,-1,0.018818118,0.018164816299999997,confirmed_pivot,33.733991510203325,0.0
1786331100000,1786332720000,1,0.018164816299999997,0.0182691729,confirmed_pivot,4.742112663148759,0.0
1786332720000,1786332900000,-1,0.0182691729,0.0186238622,opposite_break,-20.424341024765404,0.0
1786332900000,1786333020000,1,0.0186238622,0.0184421556,confirmed_pivot,-10.751776766260722,0.0
1786333020000,1786334520000,-1,0.0184421556,0.018004800300000002,confirmed_pivot,23.002183499633716,0.2753487878607857
1786334520000,1786334640000,1,0.018004800300000002,0.0178822116,opposite_break,-7.80526324138137,0.0
1786334640000,1786335900000,-1,0.0178822116,0.019021901999999997,opposite_break,-64.76505718118206,0.0
1786335900000,1786336260000,1,0.019021901999999997,0.018558144,confirmed_pivot,-25.368021715178546,0.0
1786336260000,1786336740000,-1,0.018558144,0.0182068205,confirmed_pivot,17.940426464521472,0.0
1786336740000,1786337340000,1,0.0182068205,0.0179212077,opposite_break,-16.67928862702842,0.0
1786337340000,1786337640000,-1,0.0179212077,0.0180838082,confirmed_pivot,-10.077613683925922,0.0
1786337640000,1786339140000,1,0.0180838082,0.018306169200000003,confirmed_pivot,11.289989865077438,0.0
1786339140000,1786339740000,-1,0.018306169200000003,0.0177027701,confirmed_pivot,31.977997360037627,0.0
1786339740000,1786339920000,1,0.0177027701,0.0174472551,opposite_break,-15.426399996009739,0.0
1786339920000,1786340160000,-1,0.0174472551,0.0174147413,confirmed_pivot,0.8644799261287912,0.0
1786340160000,1786340640000,1,0.0174147413,0.0173362662,opposite_break,-5.503992399244127,0.0
1786340640000,1786340760000,-1,0.0173362662,0.0174627461,confirmed_pivot,-8.299330691518824,0.0
1786340760000,1786341780000,1,0.0174627461,0.0179232075,confirmed_pivot,25.355028393844695,0.0
1786341780000,1786342380000,-1,0.0179232075,0.0180708069,opposite_break,-9.23921721042398,0.0
1786342380000,1786347000000,1,0.0180708069,0.0256304367,confirmed_pivot,417.12465967416205,0.0
1786347000000,1786347600000,-1,0.0256304367,0.0266336631,opposite_break,-40.16156501539442,0.0
1786347600000,1786348260000,1,0.0266336631,0.0270012996,confirmed_pivot,12.796550642333566,0.0
1786348260000,1786349820000,-1,0.0270012996,0.0274097407,confirmed_pivot,-15.06742408613548,1.0668593225786807
1786349820000,1786350120000,1,0.0274097407,0.0261943803,opposite_break,-45.31828571804039,0.0
1786350120000,1786352940000,-1,0.0261943803,0.028142814,opposite_break,-75.42084502567897,0.0
1786352940000,1786353060000,1,0.028142814,0.0276902307,confirmed_pivot,-17.073623922255965,0.0
1786353060000,1786354020000,-1,0.0276902307,0.0272547252,confirmed_pivot,14.735631005414445,0.0
1786354020000,1786356060000,1,0.0272547252,0.0269863011,confirmed_pivot,-10.84379354336697,0.0
1786356060000,1786356300000,-1,0.0269863011,0.027494749199999998,opposite_break,-19.8503908766511,0.0
1786356300000,1786356840000,1,0.027494749199999998,0.0279722025,confirmed_pivot,16.356571244883483,0.0
1786356840000,1786358460000,-1,0.0279722025,0.0288988896,opposite_break,-34.14542155019792,0.0
1786358460000,1786360320000,1,0.0288988896,0.031856814,confirmed_pivot,101.30308080072376,0.0
1786360320000,1786362000000,-1,0.031856814,0.0336703667,opposite_break,-57.95671501707627,0.0
1786362000000,1786362480000,1,0.0336703667,0.0288451152,opposite_break,-144.2368978105012,0.0
1786362480000,1786362900000,-1,0.0288451152,0.0286798677,confirmed_pivot,4.731650666106545,0.0
1786362900000,1786364160000,1,0.0286798677,0.0300339963,confirmed_pivot,44.69262567449015,-1.499068159578714
1786364160000,1786364400000,-1,0.0300339963,0.0311741171,opposite_break,-38.97998937623889,0.0
1786364400000,1786364760000,1,0.0311741171,0.0313238673,confirmed_pivot,3.8012690919161027,0.0
1786364760000,1786366020000,-1,0.0313238673,0.0323092306,opposite_break,-32.47299700283176,0.0
1786366020000,1786367340000,1,0.0323092306,0.0310598937,opposite_break,-39.64877647535196,0.0
1786367340000,1786367460000,-1,0.0310598937,0.031433143,confirmed_pivot,-13.023090879090683,0.0
1786367460000,1786368600000,1,0.031433143,0.031977801900000005,confirmed_pivot,16.318871693804486,0.0
1786368600000,1786369380000,-1,0.031977801900000005,0.031894189100000005,confirmed_pivot,1.6160211593530613,0.0
